Day	Hour	Count	Coverage%
2022-09-05	00	149033	100.0
2022-09-05	01	151609	100.0
2022-09-05	02	158792	100.0
2022-09-05	03	170284	100.0
2022-09-05	04	63156	42.389
2022-09-05	08	111498	79.139
2022-09-05	09	159015	100.0
2022-09-05	10	136757	76.5
2022-09-05	11	174924	88.0
2022-09-05	12	103941	47.528
2022-09-05	13	203358	89.972
2022-09-05	14	161821	72.694
2022-09-05	15	232414	100.0
2022-09-05	16	201052	100.0
2022-09-05	17	181108	100.0
2022-09-05	18	167113	100.0
2022-09-05	19	158051	100.0
2022-09-05	20	154244	100.0
2022-09-05	21	149827	100.0
2022-09-05	22	150714	100.0
2022-09-05	23	147354	100.0
