Language	Count
en	0:883471,1:159242,2:80893,3:40140,4:19807,5:9906,6:16070,7:3939,8:2816,9:1343,10:1058,11:611,12:548,13:331,14:263,15:225,16:181,17:299,18:104,19:93,20:229,21:68,22:41,23:44,24:42,25:128,26:43,27:29,28:21,29:17,30:70,31:20,32:12,33:12,34:11,35:10,36:3,37:4,38:2,39:5,40:3,41:5,42:2,43:5,44:6,45:3,46:4,47:2,48:5,49:5,50:6,51:3,52:2,53:2,54:1,55:2,56:1,57:4,59:1,60:3,61:2,62:3,63:1,65:2,66:4,67:1,68:1,70:1,75:2,77:1,82:2,84:1,87:4,89:1,92:2,99:4,100:5,107:1,109:1,112:1,129:1,130:1,132:1
ja	0:431411,1:81151,2:47310,3:29662,4:18959,5:11762,6:8619,7:5301,8:3470,9:3020,10:1666,11:1152,12:765,13:536,14:327,15:485,16:183,17:222,18:148,19:131,20:140,21:60,22:51,23:49,24:25,25:36,26:16,27:20,28:23,29:19,30:30,31:10,32:24,33:8,34:3,35:4,36:15,37:18,38:9,39:6,40:20,41:3,42:4,43:3,44:3,45:8,46:4,49:1,50:6,51:3,52:31,53:2,55:17,56:1,58:1,59:1,60:1,61:1,63:1,64:1,65:4,66:2,68:1,69:1,73:1,75:1,76:1,77:1,78:1,79:9,80:1,81:1,82:1,86:2,109:1,113:1,117:2,118:2,131:2,136:1
es	0:211417,1:31807,2:14639,3:8091,4:4022,5:2263,6:1492,7:759,8:503,9:357,10:263,11:142,12:130,13:92,14:84,15:38,16:41,17:44,18:43,19:21,20:34,21:21,22:11,23:10,24:12,25:5,26:5,27:10,28:5,29:8,30:4,31:4,32:3,33:17,34:2,35:2,36:3,37:5,38:2,39:3,40:17,42:3,43:2,44:1,46:1,48:1,52:2,60:1,68:1,70:3,71:8,75:1,77:1,84:1,90:1,100:1,107:1,114:1,118:1,125:1
und	0:49686,1:28682,2:39228,3:12969,4:28435,5:3393,6:3945,7:1065,8:20941,9:1354,10:416,11:326,12:29756,13:161,14:752,15:55,16:89,17:38,18:28,19:20,20:41,21:32,22:6020,23:31,24:216,25:38,26:18,27:21,28:6028,29:10,30:27,31:9,32:15,33:6,34:8,35:6,36:26,37:6,38:4,39:14,40:10,41:8,42:7,43:3,44:6,45:9,46:2,47:4,48:6,49:8,50:7,51:2,52:7,53:6,54:3,55:6,56:4,57:3,58:1,59:2,60:5,61:2,62:4,63:4,64:4,65:4,66:1,68:1,69:2,70:5,71:2,72:7,73:2,74:1,76:1,77:4,78:5,79:1,80:4,81:2,82:1,84:3,85:1,86:1,87:2,88:1,89:1,90:1,91:5,92:1,94:1,96:1,97:1,98:4,99:3,100:1,101:1,102:1,103:2,104:1,106:2,107:2,110:1,112:1,114:1,116:1,117:5,121:1,124:2,125:1,129:1,130:3,132:1,134:2,135:1,136:4,137:4,138:1,139:6,140:27
ar	0:106168,1:20709,2:11686,3:6801,4:24794,5:2998,6:5303,7:720,8:19353,9:2233,10:481,11:178,12:21229,13:869,14:105,15:75,16:41,17:40,18:48,19:31,20:25,21:21,22:2503,23:81,24:82,25:10,26:17,27:7,28:2977,29:75,30:9,31:6,32:6,33:8,34:5,35:4,36:8,37:3,38:3,39:7,40:4,41:11,42:3,43:4,44:3,45:4,46:4,47:5,48:9,49:2,50:2,51:1,52:1,55:2,58:2,59:1,60:2,61:2,64:3,65:2,67:2,68:1,69:1,70:2,71:1,72:2,74:1,76:1,77:3,81:1,84:1,86:1,91:2,94:2,96:1,99:1,101:1,102:1,104:2,106:1,112:2,115:2,117:1,122:1,128:2,130:1,132:1,134:1,137:1
tr	0:198362,1:9966,2:3963,3:2156,4:1103,5:488,6:278,7:143,8:104,9:76,10:65,11:43,12:22,13:19,14:17,15:13,16:14,17:13,18:5,19:5,20:5,21:6,22:3,23:2,24:2,25:3,26:2,27:2,28:2,29:1,30:2,31:1,33:1,38:1,51:1,87:1,92:1,117:1
pt	0:150623,1:17496,2:6726,3:3700,4:1747,5:921,6:627,7:356,8:232,9:116,10:183,11:75,12:56,13:138,14:34,15:19,16:15,17:11,18:13,19:15,20:6,21:12,22:4,23:3,24:2,25:6,26:7,27:4,28:4,29:1,30:4,31:4,33:3,34:6,35:2,36:7,39:3,41:3,42:2,43:3,44:1,51:1,54:1,55:2,68:1,69:1,71:1,75:2,83:1,97:32,98:1,131:1
th	0:120745,1:19930,2:13107,3:6679,4:3359,5:1842,6:1067,7:721,8:532,9:252,10:231,11:115,12:71,13:62,14:39,15:32,16:38,17:14,18:24,19:10,20:5,21:5,22:28,24:2,25:1,26:7,27:2,30:6,31:2,33:1,37:1,39:1,40:1,44:52,67:1,80:4,84:1
ko	0:110686,1:14459,2:7892,3:3535,4:2060,5:1257,6:3675,7:2020,8:178,9:116,10:77,11:49,12:28,13:22,14:15,15:20,16:6,17:9,18:3,19:4,20:2,21:8,22:2,23:2,24:4,25:1,26:4,28:91,29:4,30:7,31:3,33:1,34:2,36:2,37:1,46:2,50:1,61:1,64:3,66:1,68:2,108:1,128:1
zxx	0:97339,1:11,2:3,3:3,4:3,6:1,7:1,8:1,9:1,30:1
in	0:61659,1:14049,2:6127,3:3034,4:1476,5:678,6:523,7:250,8:151,9:93,10:54,11:30,12:31,13:22,14:21,15:12,16:20,17:10,18:5,19:3,21:3,22:1,23:2,25:2,26:1,27:1,28:1,30:2,33:1,36:1,38:1,44:1,51:1,52:1,56:1,59:1
qme	0:63127,1:7,2:1,4:2
fr	0:44842,1:7398,2:3243,3:1598,4:688,5:336,6:484,7:129,8:60,9:44,10:28,11:51,12:17,13:15,14:4,15:8,16:5,17:5,18:19,19:2,20:5,25:1,27:1,28:2,30:3,32:1,33:1,34:1,38:1,39:1,47:1,51:1
