Emoji	Count
🔹	456926
🎻	401572
♦️	314290
🐔	250277
😭	126934
😂	116738
✨	90971
🤣	71173
🔥	70862
❤️	56729
✅	41618
🎁	36113
😍	31107
🎉	30559
🙏	28647
🥺	27818
🥰	24435
‼️	24213
🔵	24093
💦	22916
📎	22459
🎲	22202
👚	21866
👇	21600
🥹	21331
🌟	20800
💕	19749
💙	19123
🤍	18402
😊	18222
🐹	16753
💜	15904
👏	15307
👍	15134
❤	13535
☺️	13135
🚨	13107
👀	12762
😈	12748
🤔	12708
😆	12203
😅	12165
📌	12135
👉	12040
💚	11828
♥️	11778
😘	11411
💖	11214
💛	11091
🖤	10908
➡️	10857
❗	10632
🎯	10567
😁	10290
💗	9968
😡	9725
🥲	9697
📍	9684
🤤	9567
🥳	9558
💰	9341
🤭	9177
⭐	8842
🌹	8747
😳	8700
🥵	8522
💥	8413
🤩	8261
🚀	8146
1⃣	8044
🏆	7982
🎊	7959
🦋	7931
💫	7820
😋	7698
🔔	7660
💯	7599
😎	7487
✌️	7339
💔	7213
💪	7122
😉	7117
😌	7106
🫶🏻	7016
🌸	6981
📢	6955
🎶	6938
💀	6844
❣️	6803
🍀	6756
🍑	6723
🔴	6688
🌻	6556
😔	6431
📸	6389
🤡	6310
🟩	6292
💡	6237
🫶	6216
🤗	6167
❤️‍🔥	6134
⏰	6132
⚡	6121
☀️	6084
😇	6054
🔗	6039
💋	6009
💓	5973
🫠	5915
👑	5898
🙄	5865
😩	5865
1️⃣	5865
😏	5832
🙌	5757
😢	5754
🍆	5723
⬇️	5628
💞	5377
💆🏻‍♂️	5203
🎥	5099
⚠️	5058
🎂	5038
💎	4924
😱	4907
🐰	4828
🌈	4766
📣	4742
🧡	4632
💐	4462
🐶	4314
☕	4292
🙏🏻	4267
👌	4183
⬜	4076
🤝	4010
‼	3984
🍙	3963
😃	3952
▶️	3927
😄	3862
2⃣	3842
📺	3839
🇧🇷	3836
♻️	3796
😜	3784
❌	3741
🎀	3729
🦅	3653
⚽	3605
🚩	3602
🙈	3554
💸	3522
♥	3505
🎵	3500
2️⃣	3482
😀	3402
👏🏻	3393
🗓️	3340
🫣	3298
🤪	3283
🙂	3262
🌷	3212
▶	3193
🍁	3192
🤯	3165
🎬	3157
👅	3119
💘	3072
👇🏻	3064
🌼	3060
🤮	2996
🔻	2994
🍔	2954
🍇	2900
🌺	2846
🐱	2802
☀	2795
⚪	2789
🌕	2769
✔️	2747
⚫	2733
❕	2705
🌙	2700
💨	2680
⬛	2680
🫡	2666
🇺🇸	2665
⁉️	2640
🟨	2626
🌿	2605
💌	2550
▪️	2539
😹	2518
😝	2516
🕊	2506
🙃	2503
🙇‍♀️	2463
🔁	2452
🙇‍♂️	2449
😻	2435
🔞	2426
🥴	2400
👈	2395
🌊	2386
💭	2364
👋	2364
👍🏻	2337
💢	2314
👊	2269
😮‍💨	2267
❓	2258
📲	2247
😫	2244
📱	2211
3⃣	2206
🌱	2147
🗣	2130
😴	2113
☑️	2111
😤	2099
😬	2098
🐾	2092
🍋	2090
🌞	2079
🤬	2077
🎈	2072
🇪🇹	2068
⚜️	2068
💬	2034
🤲	1991
🧐	1974
🇹🇷	1966
🍃	1963
😵‍💫	1943
✈️	1931
🤨	1930
😒	1924
🦊	1880
😞	1850
👉🏻	1850
🇸🇦	1847
🍂	1814
💧	1813
🐥	1812
⭕	1801
🟠	1792
🍎	1792
☺	1792
☁️	1789
🔺	1770
💝	1754
🤑	1753
🐻	1745
😛	1739
3️⃣	1737
🤫	1726
🇻🇪	1726
🧸	1701
🐈	1699
🟥	1682
🐺	1682
✊	1673
🤧	1670
🤎	1666
🍻	1651
❣	1650
😚	1632
🍒	1601
👻	1585
⏳	1584
🎧	1578
🗣️	1573
💩	1573
🐷	1570
㊗️	1563
🔄	1551
🥇	1550
🔽	1535
🐟	1534
🫧	1531
🐯	1529
🔳	1527
🍓	1526
🥂	1518
🆘	1508
✍️	1501
🫶🏼	1494
🎮	1494
🟢	1479
💵	1473
🤢	1472
✔	1470
🇺🇦	1467
✋	1452
🐕	1445
🫂	1444
📈	1442
🙌🏻	1433
😐	1428
⚔️	1403
🔸	1401
0️⃣	1401
❤️‍🩹	1398
💃	1395
⤵️	1387
🔰	1379
😑	1373
😣	1357
📷	1357
🙏🏼	1345
🟧	1344
✌	1336
☝️	1329
🟦	1313
🎃	1309
💤	1306
📽️	1301
🍌	1301
🎤	1296
➕	1295
🕊️	1289
🥱	1286
🅿️	1266
🗓	1264
📽	1261
💿	1261
👏🏼	1254
📝	1250
🤏🏻	1249
😓	1248
☹️	1242
🐿	1241
🧵	1240
😪	1235
🥶	1227
🍺	1220
🙇	1207
🐐	1205
😥	1203
☠️	1197
🕯	1194
🍫	1181
💻	1167
👤	1165
🇬🇧	1150
🕺	1143
🥀	1139
🐍	1122
🧿	1111
🔊	1097
🦁	1094
👁	1086
🤦‍♀️	1085
😲	1085
📹	1085
🌴	1082
🐣	1077
🤞	1074
🙏🏽	1072
🛑	1069
😵	1064
📩	1056
🎨	1055
🫢	1048
🤦‍♂️	1048
🟡	1045
😠	1037
🌳	1026
🍊	1020
🌚	1018
😖	1013
🎙	1008
🍰	1006
💉	1002
〰️	995
🐙	994
☑	993
0⃣	988
🇮🇳	986
📞	985
❄️	976
🪄	972
📚	967
🤟	965
🙏🏾	963
🤓	961
🙊	950
🦄	949
👥	945
🔝	944
➖	941
💪🏻	940
🫶🏽	939
🌾	939
👇🏼	929
🇲🇽	926
🔮	920
🇫🇷	919
🎟️	904
💟	900
👆	900
😰	899
🦉	893
🛒	893
😨	890
💠	886
💣	884
👌🏻	882
🥦	881
🐈‍⬛	881
🉐	881
🤙	880
👔	880
🔃	879
👹	878
🚲	876
🍠	873
🐉	870
🌀	870
🇯🇵	867
🍼	863
🤦	862
✌🏻	857
🍄	855
▫️	855
🔷	851
🐼	851
☘️	849
🌍	843
🆚	840
🤷‍♂️	833
💼	831
🌎	826
📻	806
🐸	806
🙆‍♀️	803
🍵	791
🍯	790
🍗	788
🚗	785
🍾	785
®	784
✖️	779
🍨	777
⚠	774
⏩	769
🇷🇺	763
🍷	758
😮	757
🐨	756
🇦🇿	754
🍜	753
➡	752
🐬	751
📅	750
🎸	750
🤌	749
🐧	747
🏅	747
🌰	746
🙋‍♀️	744
🍿	739
🤲🏻	737
🤘	737
😕	735
♠️	735
🇦🇷	731
😙	730
🤖	723
👏🏽	721
🤦🏻‍♀️	716
🎙️	714
🐝	713
⬇	713
🦑	712
🌐	709
🙋‍♂️	705
👎	701
😗	700
🫰	692
⚾	688
🎫	687
💍	685
👇🏽	685
😿	680
🌝	680
🪐	672
🥊	670
🦍	667
🗳	667
📖	666
📊	664
👄	663
😼	661
😸	661
😷	649
😶	643
㊗	642
🌲	641
👾	640
🔎	636
🇳🇬	634
😽	627
👏🏾	627
©	625
🦦	622
🏀	621
🖕	619
💅	619
🇨🇱	618
👿	617
🤠	609
🙇🏻‍♀️	605
🌠	603
🔒	601
🩸	599
🔫	599
🛐	598
🧄	595
5⃣	594
🎼	591
🔶	588
🏷️	587
🎰	583
🍩	583
🇵🇰	583
📰	582
5️⃣	582
🙆‍♂️	581
🌏	581
🔪	578
🆔	577
🤦🏻‍♂️	575
🍭	574
🐦	573
🐳	572
🔜	570
🚫	568
🇪🇺	568
🍅	567
🎣	564
🙁	563
🇪🇷	562
🍚	560
🕯️	559
🌵	557
🍞	555
🇪🇸	555
☎️	555
👽	552
⌛	548
🇮🇹	547
🇹🇭	545
😯	544
🐒	544
💮	543
🤏	542
🇩🇪	542
⁉	539
🥕	538
🍽	538
✉️	538
♨️	534
👍🏼	530
🏰	530
🏃	530
🥛	528
🏠	528
🐴	525
🧠	523
🏹	523
🦌	518
🥚	516
😺	510
⤵	510
⬆️	509
🎟	506
🐇	504
🆕	503
🧧	501
🥈	501
🤷‍♀️	499
🍸	499
🇰🇷	497
🎇	495
🌃	495
✊🏻	495
☔	495
🤷	494
🍈	494
🥞	493
🏡	492
🐤	488
🐎	488
🆙	485
🤐	482
🌅	479
🐚	478
🫶🏾	477
🙉	477
🍬	475
👈🏻	473
👁️	473
🌛	472
🔲	471
🦖	469
🦇	469
🏷	469
🦈	468
🙋	467
💪🏼	467
🫦	464
☁	464
👼	462
🚬	461
🫰🏻	460
🎋	460
🐑	458
🔱	457
⤴	457
▪	455
🐩	453
🍮	453
🍉	453
🟣	451
🤚	448
👇🏾	448
😾	447
🔆	447
🍣	443
🏃‍♀️	442
🍐	442
👊🏻	441
🍖	440
😟	439
🔍	439
🏝	437
🐋	435
✉	434
💳	432
💪🏽	431
🌶	431
🙌🏾	429
🐀	428
4️⃣	428
☝	427
🐢	425
🤷🏻‍♀️	424
👋🏻	424
🕐	423
🏖	422
🆗	421
🤌🏻	420
🙌🏼	419
💄	417
⤴️	417
🌌	415
❔	411
™	411
⏱	410
🐘	408
🫐	406
🏳️‍🌈	406
🤷🏻‍♂️	403
🍟	403
🗿	401
📀	400
🏁	400
🍡	400
🌤	400
👠	398
👟	397
📦	396
🥃	394
🐮	394
♀	394
🏈	393
⛔	392
🇨🇳	391
📕	390
〰	390
⛄	390
⏬	387
🎞	386
⌚	385
🍏	384
🍦	382
6️⃣	381
🥑	380
🏮	380
🕒	379
🤕	376
🗝	375
👙	375
💊	372
🎩	372
🇸🇪	371
📮	370
🍴	369
🗳️	368
✴	368
🌄	367
♂	367
📉	364
📆	364
💪🏾	363
🍕	363
🖇	361
🧀	360
⛅	360
🇨🇦	358
🐠	357
🏴‍☠️	356
🎆	356
🖐	355
👉🏼	354
🍛	352
