Value	Count
en	1250873
ja	655106
es	292786
ar	220076
und	208335
tr	205388
pt	173708
th	158064
ko	119200
fa	103822
zxx	94316
in	87110
qme	68839
fr	58863
hi	38435
ur	35706
tl	28540
zh	28401
it	21087
de	20122
ru	18709
qam	16448
pl	12340
ca	11778
nl	11367
art	8919
bn	8744
qht	7564
et	7388
uk	6301
qst	5656
ht	5560
ta	5362
vi	5169
el	4411
sv	3707
fi	3366
cs	2964
iw	2803
da	2058
eu	2051
gu	2014
cy	1746
te	1711
no	1609
ro	1566
hu	1560
mr	1505
lt	1100
sl	1044
ne	1034
lv	1011
sr	691
is	647
my	632
am	605
ps	516
kn	456
pa	383
bg	342
ml	327
ckb	221
or	192
km	132
sd	94
lo	90
hy	81
ka	77
dv	75
si	71
qct	8
bo	4
ug	1
